class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,31,0.8378378378378378,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,5,0.13513513513513514
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,26,0.7878787878787878,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,6,0.18181818181818182
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,13,0.7222222222222222,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,4,0.2222222222222222
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,44,0.9777777777777777,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,35,0.7777777777777778,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,6,0.13333333333333333
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,52,0.9285714285714286,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,3,0.05357142857142857
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,59,0.8805970149253731,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,5,0.07462686567164178
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,48,0.9411764705882353,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,2,0.0392156862745098
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,34,0.8717948717948718,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,3,0.07692307692307693
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,29,0.8787878787878788,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,4,0.12121212121212122
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,25,0.8064516129032258,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,2,0.06451612903225806
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,49,0.98,Willy-Messerschmitt-5_9387__Indoor__HW_701,1,0.02
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,50,0.9433962264150944,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.018867924528301886
Lise-Meitner-Str-9_9377__Outdoor__North,55,49,0.8909090909090909,Lise-Meitner-Str-9_9377__Outdoor__South_East,2,0.03636363636363636
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,68,0.8717948717948718,Lise-Meitner-Str-9_9377__Outdoor__South_East,8,0.10256410256410256
Lise-Meitner-Str-9_9377__Outdoor__South,81,71,0.8765432098765432,Lise-Meitner-Str-9_9377__Outdoor__South_East,5,0.06172839506172839
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,59,0.8805970149253731,Lise-Meitner-Str-9_9377__Outdoor__North_East,6,0.08955223880597014
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,63,0.984375,Willy-Messerschmitt-5_9387__Indoor__RM_019,1,0.015625
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,42,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,49,0.9245283018867925,Willy-Messerschmitt-5_9387__Indoor__RM_012,2,0.03773584905660377
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,41,0.7321428571428571,Willy-Messerschmitt-5_9387__Indoor__RM_011,14,0.25
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,44,0.8301886792452831,Willy-Messerschmitt-5_9387__Indoor__RM_020,9,0.16981132075471697
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,33,0.868421052631579,Willy-Messerschmitt-5_9387__Indoor__RM_011,2,0.05263157894736842
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,75,0.9868421052631579,Lise-Meitner-Str-9_9377__Outdoor__North,1,0.013157894736842105
