class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,34,0.918918918918919,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,3,0.08108108108108109
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,33,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,18,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,45,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,43,0.9555555555555556,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,55,0.9821428571428571,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,1,0.017857142857142856
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,65,0.9701492537313433,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.014925373134328358
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,50,0.9803921568627451,Lise-Meitner-Str-9_9377__Outdoor__South,1,0.0196078431372549
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,37,0.9487179487179487,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,2,0.05128205128205128
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,33,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,31,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,50,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,53,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Outdoor__North,55,54,0.9818181818181818,Lise-Meitner-Str-9_9377__Outdoor__South_East,1,0.01818181818181818
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,76,0.9743589743589743,Lise-Meitner-Str-9_9377__Outdoor__South_East,2,0.02564102564102564
Lise-Meitner-Str-9_9377__Outdoor__South,81,78,0.9629629629629629,Lise-Meitner-Str-9_9377__Outdoor__North,3,0.037037037037037035
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,66,0.9850746268656716,Lise-Meitner-Str-9_9377__Outdoor__North_East,1,0.014925373134328358
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,64,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,42,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,52,0.9811320754716981,Willy-Messerschmitt-5_9387__Indoor__RM_012,1,0.018867924528301886
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,54,0.9642857142857143,Willy-Messerschmitt-5_9387__Indoor__RM_011,2,0.03571428571428571
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,49,0.9245283018867925,Willy-Messerschmitt-5_9387__Indoor__RM_020,4,0.07547169811320754
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,38,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,76,1.0,,0,0.0
