epoch,accuracy,loss,val_accuracy,val_loss
0,0.6462515592575073,1.1237945556640625,0.5569205284118652,1.4211668968200684
1,0.7947562336921692,0.6349126696586609,0.7059786915779114,0.8876245021820068
2,0.8297829031944275,0.5150294303894043,0.5716625452041626,1.5633940696716309
3,0.8510856032371521,0.4425755441188812,0.7862407565116882,0.7158138155937195
4,0.8701351881027222,0.40856170654296875,0.7698607444763184,0.7898833155632019
5,0.8717738389968872,0.3716509938240051,0.7608517408370972,0.6941618919372559
6,0.8926669359207153,0.32766515016555786,0.8116298317909241,0.6330696940422058
7,0.8977878093719482,0.32132866978645325,0.770679771900177,0.8278977274894714
8,0.9090536832809448,0.3071806728839874,0.7805078029632568,0.7627443075180054
9,0.905571460723877,0.29505106806755066,0.8419328331947327,0.5594919323921204
10,0.9139696955680847,0.2637745440006256,0.8452088236808777,0.5912820100784302
11,0.9106923341751099,0.2698834538459778,0.789516806602478,0.7656883001327515
12,0.9211388826370239,0.2318105697631836,0.8116298317909241,0.7887805700302124
13,0.9537075161933899,0.14110024273395538,0.9025388956069946,0.4430379569530487
14,0.9653830528259277,0.10118018835783005,0.9066339135169983,0.4037560522556305
15,0.9684555530548096,0.09850966185331345,0.9131858944892883,0.4044504463672638
16,0.9700942039489746,0.08458255231380463,0.9049959182739258,0.39776280522346497
17,0.9719377160072327,0.0817716047167778,0.9148238897323608,0.3760700523853302
18,0.9746005535125732,0.07603910565376282,0.9164619445800781,0.3944993019104004
19,0.9754199385643005,0.07500291615724564,0.9148238897323608,0.3942091464996338
20,0.9762392640113831,0.0698067843914032,0.914004921913147,0.4008532762527466
21,0.9795165657997131,0.06156649440526962,0.9189189076423645,0.3650495111942291
22,0.9842277765274048,0.04344378411769867,0.9238329529762268,0.3640856146812439
23,0.984637439250946,0.04277670383453369,0.9230139255523682,0.3898240029811859
24,0.9873002767562866,0.037033919245004654,0.920556902885437,0.37507373094558716
25,0.9870954751968384,0.0362614244222641,0.9287469387054443,0.37963202595710754
26,0.9836132526397705,0.04388361796736717,0.9279279112815857,0.3695487082004547
27,0.9840229153633118,0.03930686414241791,0.9287469387054443,0.3761405050754547
28,0.9848423004150391,0.03909914195537567,0.9287469387054443,0.3743923306465149
29,0.9877099394798279,0.03278388828039169,0.9279279112815857,0.3722476363182068
30,0.9879148006439209,0.03188599646091461,0.9271089434623718,0.3721076548099518
31,0.9891437888145447,0.031682830303907394,0.9271089434623718,0.37252306938171387
32,0.9885292649269104,0.03287912532687187,0.9271089434623718,0.3732900023460388
33,0.9918066263198853,0.027384856715798378,0.9287469387054443,0.37362462282180786
34,0.9893486499786377,0.03127361461520195,0.9287469387054443,0.3741585612297058
35,0.9895534515380859,0.02905803546309471,0.9295659065246582,0.3741953372955322
36,0.9881196022033691,0.031045934185385704,0.9295659065246582,0.37462466955184937
37,0.9887341260910034,0.0311233252286911,0.9295659065246582,0.3744138777256012
38,0.9891437888145447,0.03236091136932373,0.9295659065246582,0.37406420707702637
39,0.9875051379203796,0.03306930512189865,0.9295659065246582,0.3742145299911499
40,0.9889389872550964,0.032896000891923904,0.9295659065246582,0.3741520047187805
41,0.989758312702179,0.03112071007490158,0.9295659065246582,0.3739754259586334
42,0.9889389872550964,0.030436992645263672,0.9295659065246582,0.37357082962989807
43,0.9883244633674622,0.03224307671189308,0.9287469387054443,0.3741637170314789
44,0.9885292649269104,0.028870098292827606,0.9279279112815857,0.37342244386672974
45,0.9885292649269104,0.03309549763798714,0.9287469387054443,0.37343186140060425
