class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,32,0.8648648648648649,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,5,0.13513513513513514
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,31,0.9393939393939394,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,1,0.030303030303030304
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,14,0.7777777777777778,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,4,0.2222222222222222
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,44,0.9777777777777777,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,42,0.9333333333333333,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,54,0.9642857142857143,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,2,0.03571428571428571
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,62,0.9253731343283582,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,2,0.029850746268656716
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,49,0.9607843137254902,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,1,0.0196078431372549
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,35,0.8974358974358975,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,3,0.07692307692307693
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,32,0.9696969696969697,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,1,0.030303030303030304
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,28,0.9032258064516129,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,2,0.06451612903225806
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,48,0.96,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,2,0.04
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,51,0.9622641509433962,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,1,0.018867924528301886
Lise-Meitner-Str-9_9377__Outdoor__North,55,51,0.9272727272727272,Lise-Meitner-Str-9_9377__Outdoor__North_East,2,0.03636363636363636
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,74,0.9487179487179487,Lise-Meitner-Str-9_9377__Outdoor__South_East,4,0.05128205128205128
Lise-Meitner-Str-9_9377__Outdoor__South,81,76,0.9382716049382716,Lise-Meitner-Str-9_9377__Outdoor__North,3,0.037037037037037035
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,63,0.9402985074626866,Lise-Meitner-Str-9_9377__Outdoor__North_East,2,0.029850746268656716
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,64,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,42,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,48,0.9056603773584906,Willy-Messerschmitt-5_9387__Indoor__RM_012,3,0.05660377358490566
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,52,0.9285714285714286,Willy-Messerschmitt-5_9387__Indoor__RM_011,3,0.05357142857142857
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,44,0.8301886792452831,Willy-Messerschmitt-5_9387__Indoor__RM_020,8,0.1509433962264151
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,34,0.8947368421052632,Willy-Messerschmitt-5_9387__Indoor__RM_019,2,0.05263157894736842
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,76,1.0,,0,0.0
